Id;Dato;Start;Slutt dato;Slutt;Plasser;Undform;Partinr;Aktivitet;Emne;Fagperson;Email;Tittel;Stedkode;Sted;Rom;Fag;Studentgr;Terminnr;
24V-SOS4100-1-1-1-501;18.03.2024;08:15;18.03.2024;10:00;30;SEMFOR;;Forelesning og studentaktiviteter;SOS4100;Borgen, Solveig Topstad;;Postdoktor;185170700;SV-ISS;BL11101 Seminarrom 101;;4624, 5493;1;
24V-KULKOM3090-1-1-3-3-1;18.03.2024;08:15;18.03.2024;10:00;12;SEM;3;Seminargruppe 3;KULKOM3090;Storm-Mathisen, Frøja Isabella;;Stipendiat;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
24V-SOS9032-1-1-1-2;18.03.2024;09:00;18.03.2024;16:00;20;SEMFOR;;Heldagsseminar;SOS9032;Lappegård, Trude;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;;1;
24V-SGO3500-1-1-2-2-1;18.03.2024;10:15;18.03.2024;12:00;18;SEM;2;Seminar 2: ;SGO3500;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11132 Seminarrom 132;;5032, 5034, 5833;1;
24V-SOSGEO2800-1-1-1-501;18.03.2024;10:15;18.03.2024;12:00;130;FOR;;Forelesninger;SOSGEO2800;Midtbøen, Arnfinn Haagensen;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2229, 4622, 5211, 5869, 5898;1;
24V-OLA4090-1-1-1-501;18.03.2024;12:15;18.03.2024;13:00;50;KOL;;Digitalt statusmøte;OLA4090;Kjekshus, Lars Erik;;Professor;185170700;SV-ISS;DIGUND1  ;;6408;1;
24V-SGO3500-1-1-2-1-1;18.03.2024;12:15;18.03.2024;14:00;18;SEM;1;Seminar 1: ;SGO3500;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11140 Seminarrom 140;;5032, 5034, 5833;1;
24V-SGO2302-1-1-2-1-1;18.03.2024;12:15;18.03.2024;14:00;22;SEM;1;Group 1: Seminar group 1;SGO2302;Berg, Siri Adele Langaas;;;185170700;SV-ISS;BL273521 Grupperom 1;;1642, 5034, 5806;1;
24V-SGO2100-1-1-2-4-1;18.03.2024;14:15;18.03.2024;16:00;22;SEM;4;Seminargruppe 4: ;SGO2100;Sjøstedt, Tine Ellen;;;185170700;SV-ISS;BL11124 Seminarrom 124;;;1;
24V-SOSGEO1120-1-1-1-1;19.03.2024;08:15;19.03.2024;10:00;200;FOR;;Forelesning;SOSGEO1120;Hermansen, Are Skeie;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
24V-SOSGEO1120-1-1-1-1;19.03.2024;08:15;19.03.2024;10:00;200;FOR;;Forelesning;SOSGEO1120;Nosrati, Elias;;;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
24V-SOS9032-1-1-1-3;19.03.2024;09:00;19.03.2024;16:00;20;SEMFOR;;Heldagsseminar;SOS9032;Borgen, Solveig Topstad;;Postdoktor;185170700;SV-ISS;BL11301 Seminarrom 301;;;1;
24V-SOS9032-1-1-1-3;19.03.2024;09:00;19.03.2024;16:00;20;SEMFOR;;Heldagsseminar;SOS9032;Lappegård, Trude;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;;1;
24V-SOS2100-1-1-1-1;19.03.2024;10:15;19.03.2024;12:00;170;FOR;;Forelesning;SOS2100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869;1;
24V-SGO3200-1-1-1-1;19.03.2024;12:15;19.03.2024;15:00;40;FOR;;Forelesning: ;SGO3200;Milkoreit, Manjana;;Postdoktor;185170700;SV-ISS;BL273513 Undervisningsrom 3;;1642, 5032, 5034;1;
24V-SGO3200-1-1-1-1;19.03.2024;12:15;19.03.2024;15:00;40;FOR;;Forelesning: ;SGO3200;Sæther, Bjørnar;;Professor;185170700;SV-ISS;BL273513 Undervisningsrom 3;;1642, 5032, 5034;1;
24V-SOS4016-1-1-1-501;19.03.2024;12:15;19.03.2024;16:00;9;FOR;;Forelesning;SOS4016;Hermansen, Are Skeie;;Professor;185170700;SV-ISS;BL11041 Seminarrom 041;;4624;1;
24V-SGO2302-1-1-2-2-1;20.03.2024;08:15;20.03.2024;10:00;22;SEM;2;Group 2: Seminar group 2;SGO2302;Stout, Ole Ronel;;;185170700;SV-ISS;BL11124 Seminarrom 124;;1642, 5034, 5806;1;
24V-SOS4050-1-1-2-1-501;20.03.2024;09:15;20.03.2024;12:00;15;SEM;1;Seminar 1 - Trude;SOS4050;Lappegård, Trude;;Professor;185170700;SV-ISS;BL11038 Seminarrom 038;;4624;1;
24V-SOS1100-1-1-2-1-1;20.03.2024;10:15;20.03.2024;12:00;18;SEM;1;Seminar 1;SOS1100;Abuzeid, Aseel Dima Jamale Ahmed;;;185170700;SV-ISS;BL11150 Seminarrom 150;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SOSGEO4801-1-1-1-1;20.03.2024;12:15;20.03.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Sunnemark, Erik Ludvig;;Stipendiat;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
